iter	Logloss
349	0.1503429083
350	0.1503394143
351	0.150333271
352	0.1503268545
353	0.1503219064
354	0.1503169983
355	0.1503082733
356	0.1503004877
357	0.1502962287
358	0.150290316
359	0.1502855673
360	0.1502819176
361	0.1502781139
362	0.1502744473
363	0.1502696126
364	0.1502653747
365	0.1502578698
366	0.1502513881
367	0.1502475096
368	0.1502396362
369	0.1502360711
370	0.1502312128
371	0.1502226019
372	0.150215318
373	0.1502094315
374	0.1502062329
375	0.1502009537
376	0.1501974433
377	0.1501882372
378	0.1501792357
379	0.1501696853
380	0.1501649533
381	0.1501607101
382	0.1501556091
383	0.1501502335
384	0.1501466715
385	0.1501388147
386	0.1501346944
387	0.1501299198
388	0.150126924
389	0.1501196273
390	0.1501144576
391	0.1501059804
392	0.1501014486
393	0.1500981231
394	0.1500921793
395	0.1500884505
396	0.1500812169
397	0.1500752832
398	0.1500696471
399	0.1500644197
400	0.150061231
401	0.1500559851
402	0.150052722
403	0.1500473287
404	0.1500418327
405	0.150032462
406	0.1500286731
407	0.1500243683
408	0.1500183938
409	0.1500099169
410	0.150006141
411	0.149998309
412	0.1499937466
413	0.149987861
414	0.1499835893
415	0.1499794828
416	0.1499762445
417	0.1499716194
418	0.1499667323
419	0.1499599924
420	0.1499570814
421	0.1499508851
422	0.1499431452
423	0.1499374772
424	0.1499315753
425	0.1499264466
426	0.1499185785
427	0.1499110346
428	0.1499055385
429	0.1498999372
430	0.149894824
431	0.1498919311
432	0.1498888867
433	0.1498797049
434	0.1498722626
435	0.1498642706
436	0.149860868
437	0.1498561284
438	0.1498499453
439	0.1498420862
440	0.1498371625
441	0.14983258
442	0.1498268967
443	0.1498202715
444	0.1498142275
445	0.1498071301
446	0.149802557
447	0.1497985515
448	0.1497927173
449	0.14978857
450	0.1497822923
451	0.1497753112
452	0.149771134
453	0.1497670202
454	0.1497623207
455	0.1497561623
456	0.1497522882
457	0.1497504143
458	0.1497453205
459	0.1497430001
460	0.1497352451
461	0.1497298601
462	0.14972693
463	0.1497242512
464	0.1497213622
465	0.1497145886
466	0.1497096014
467	0.1497026141
468	0.1496962266
469	0.149690947
470	0.1496858653
471	0.1496795668
472	0.1496756466
473	0.1496702676
474	0.1496637623
475	0.1496580825
476	0.1496538598
477	0.1496497733
478	0.149647431
479	0.1496443411
480	0.1496394384
481	0.1496341971
482	0.1496281627
483	0.1496240014
484	0.1496130391
485	0.1496071962
486	0.1496022538
487	0.1495926497
488	0.1495844794
489	0.1495792851
490	0.1495726863
491	0.1495679814
492	0.1495633912
493	0.1495582159
494	0.1495551854
495	0.1495520505
496	0.1495492763
497	0.1495450743
498	0.1495422087
499	0.1495385306
500	0.1495362379
501	0.1495319082
502	0.1495305917
503	0.1495261593
504	0.149523752
505	0.1495174642
506	0.1495100922
507	0.1495062349
508	0.1495029593
509	0.1494994672
510	0.1494967799
511	0.149489072
512	0.1494836353
513	0.1494795346
514	0.1494742088
515	0.1494703047
516	0.1494675082
517	0.1494642535
518	0.1494613373
519	0.1494542567
520	0.1494506687
521	0.149440649
522	0.149436958
523	0.1494353437
524	0.1494274309
525	0.1494237119
526	0.1494181396
527	0.1494137737
528	0.1494094432
529	0.1494036772
530	0.1493999759
531	0.1493933352
532	0.1493879869
533	0.1493836003
534	0.1493792305
535	0.1493730936
536	0.1493629853
537	0.1493573863
538	0.1493552854
539	0.1493521863
540	0.1493483418
541	0.1493406413
542	0.1493346951
543	0.1493305784
544	0.1493254613
545	0.1493232208
546	0.1493193698
547	0.1493144781
548	0.1493088792
549	0.1493021078
550	0.1492959659
551	0.1492896139
552	0.1492859034
553	0.1492829545
554	0.1492775175
555	0.1492733638
556	0.1492667141
557	0.149261646
558	0.14925609
559	0.1492531135
560	0.1492487443
561	0.149244954
562	0.1492419266
563	0.1492404072
564	0.149238163
565	0.1492333197
566	0.1492255711
567	0.1492216431
568	0.1492173405
569	0.1492127904
570	0.1492072465
571	0.1492017513
572	0.1491982462
573	0.1491957899
574	0.149193045
575	0.1491870089
576	0.1491838669
577	0.1491794057
578	0.1491745264
579	0.1491708196
580	0.1491635485
581	0.1491580632
582	0.1491546617
583	0.1491483629
584	0.1491469272
585	0.1491441114
586	0.149137946
587	0.1491333666
588	0.1491279497
589	0.1491257164
590	0.1491224111
591	0.1491187782
592	0.1491150407
593	0.1491106399
594	0.1491051798
595	0.149102324
596	0.1491003857
597	0.1490950323
598	0.1490919846
599	0.1490873774
600	0.1490813837
601	0.1490768504
602	0.1490736499
603	0.1490685619
604	0.1490654344
605	0.1490627564
606	0.1490601597
607	0.1490561111
608	0.1490515555
609	0.1490463896
610	0.149044215
611	0.1490391549
612	0.1490349226
613	0.1490250937
614	0.1490203796
615	0.1490166984
616	0.1490125798
617	0.1490105976
618	0.1490087253
619	0.1490054346
620	0.1490027694
621	0.1490001345
622	0.1489940866
623	0.1489900682
624	0.1489852962
625	0.1489842991
626	0.1489795232
627	0.148975884
628	0.1489698442
629	0.1489676701
630	0.1489641544
631	0.148959856
632	0.1489571831
633	0.1489518013
634	0.1489484088
635	0.1489444537
636	0.1489387893
637	0.1489331936
638	0.1489268007
639	0.1489229996
640	0.1489186354
641	0.148913453
642	0.1489055448
643	0.1489003081
644	0.148896322
645	0.1488937349
646	0.1488896208
647	0.1488870273
648	0.148883861
649	0.1488811306
